epoch,loss,ppl,accuracy
0, 9.15639, 9474.81707,0.150
1, 9.14562, 9373.32686,9.095
2, 9.13204, 9246.82902,12.014
3, 9.12207, 9155.16729,12.015
4, 9.11504, 9090.98262,12.015
5, 9.10939, 9039.75963,12.015
6, 9.10374, 8988.82505,12.015
7, 9.09585, 8918.18644,12.261
8, 9.08675, 8837.45900,16.366
9, 9.07862, 8765.83484,17.821
10, 9.07081, 8697.70586,17.889
11, 9.06280, 8628.28874,17.897
12, 9.05422, 8554.59934,17.942
13, 9.04498, 8475.86384,17.865
14, 9.03496, 8391.38829,17.895
15, 9.02418, 8301.37477,17.823
16, 9.01259, 8205.71971,17.750
17, 9.00017, 8104.42557,17.756
18, 8.98695, 7998.03907,17.625
19, 8.97289, 7886.35272,17.514
20, 8.95797, 7769.57646,17.409
21, 8.94228, 7648.58009,17.285
22, 8.92575, 7523.25689,17.063
23, 8.90841, 7393.90516,16.868
24, 8.89030, 7261.17665,16.575
25, 8.87129, 7124.49853,16.365
26, 8.85153, 6985.07043,16.041
27, 8.83095, 6842.80669,15.692
28, 8.80957, 6698.00701,15.401
29, 8.78739, 6551.08820,15.057
30, 8.76436, 6401.98326,14.880
31, 8.74057, 6251.47759,14.703
32, 8.71589, 6099.05395,14.679
33, 8.69041, 5945.61594,14.676
34, 8.66411, 5791.30547,14.696
35, 8.63707, 5636.76804,14.703
36, 8.60928, 5482.31237,14.641
37, 8.58065, 5327.58203,14.631
38, 8.55127, 5173.34411,14.632
39, 8.52114, 5019.79136,14.623
40, 8.49024, 4867.02702,14.539
41, 8.45855, 4715.23296,14.489
42, 8.42616, 4564.95899,14.471
43, 8.39306, 4416.29530,14.280
44, 8.35919, 4269.25297,14.155
45, 8.32457, 4123.97868,14.022
46, 8.28933, 3981.15938,13.662
47, 8.25335, 3840.45802,13.349
48, 8.21667, 3702.16855,13.067
49, 8.17932, 3566.42503,12.740
50, 8.14129, 3433.35663,12.541
51, 8.10271, 3303.41778,12.321
52, 8.06339, 3176.03183,12.209
53, 8.02356, 3052.01066,12.125
54, 7.98309, 2930.98452,12.063
55, 7.94207, 2813.19173,12.042
56, 7.90050, 2698.64217,12.028
57, 7.85843, 2587.45413,12.021
58, 7.81584, 2479.56495,12.019
59, 7.77275, 2374.99426,12.017
60, 7.72925, 2273.88603,12.015
61, 7.68536, 2176.25846,12.015
62, 7.64111, 2082.06205,12.016
63, 7.59650, 1991.22089,12.015
64, 7.55158, 1903.75151,12.015
65, 7.50642, 1819.68215,12.015
66, 7.46095, 1738.80599,12.015
67, 7.41535, 1661.29183,12.015
68, 7.36959, 1586.98182,12.015
69, 7.32365, 1515.72411,12.015
70, 7.27764, 1447.56544,12.015
71, 7.23163, 1382.46848,12.015
72, 7.18561, 1320.29670,12.015
73, 7.13964, 1260.97287,12.015
74, 7.09377, 1204.44188,12.015
75, 7.04803, 1150.58926,12.015
76, 7.00246, 1099.33838,12.015
77, 6.95712, 1050.60016,12.015
78, 6.91214, 1004.39660,12.016
79, 6.86747, 960.51374,12.015
80, 6.82320, 918.91664,12.015
81, 6.77940, 879.54027,12.016
82, 6.73609, 842.26143,12.018
83, 6.69345, 807.10295,12.028
84, 6.65140, 773.86338,12.048
85, 6.61003, 742.50497,12.161
86, 6.56938, 712.93016,12.402
87, 6.52956, 685.09695,13.141
88, 6.49049, 658.84823,14.247
89, 6.45234, 634.18447,15.738
90, 6.41513, 611.02044,17.020
91, 6.37895, 589.31137,17.801
92, 6.34378, 568.94092,18.111
93, 6.30973, 549.89540,18.392
94, 6.27681, 532.09059,18.501
95, 6.24509, 515.47606,18.558
96, 6.21471, 500.05212,18.601
97, 6.18571, 485.75801,18.618
98, 6.15815, 472.55418,18.657
99, 6.13181, 460.26857,18.682
100, 6.10642, 448.73139,18.683
101, 6.08176, 437.79908,18.702
102, 6.05790, 427.47824,18.720
103, 6.03450, 417.59193,18.735
104, 6.01179, 408.21352,18.738
105, 5.98982, 399.34280,18.741
106, 5.96853, 390.92909,18.745
107, 5.94761, 382.83562,18.747
108, 5.92711, 375.07079,18.751
109, 5.90678, 367.52003,18.752
110, 5.88630, 360.06926,18.776
111, 5.86534, 352.60128,18.863
112, 5.84369, 345.04889,19.063
113, 5.82202, 337.65228,19.366
114, 5.79951, 330.13789,19.831
115, 5.77704, 322.80083,20.302
116, 5.75400, 315.44953,20.940
117, 5.73046, 308.11118,21.762
118, 5.70680, 300.90787,22.673
119, 5.68215, 293.57944,23.529
120, 5.65718, 286.33864,24.186
121, 5.63193, 279.19978,24.527
122, 5.60600, 272.05393,24.614
123, 5.57975, 265.00412,24.677
124, 5.55298, 258.00454,24.762
125, 5.52643, 251.24438,24.837
126, 5.49957, 244.58573,25.029
127, 5.47194, 237.92110,25.484
128, 5.44456, 231.49621,26.292
129, 5.41678, 225.15393,27.037
130, 5.38905, 218.99589,27.765
131, 5.36145, 213.03389,28.255
